"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\actions\alert.js", "JavaScript", 7, 0, 0, 0, 1, 8
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\actions\productFilter.js", "JavaScript", 7, 0, 0, 0, 1, 8
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\actions\pushNotification.js", "JavaScript", 7, 0, 0, 0, 1, 8
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\constants\ActionTypes.js", "JavaScript", 3, 0, 0, 0, 0, 3
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\reducers\alertReducer.js", "JavaScript", 17, 0, 0, 0, 4, 21
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\reducers\index.js", "JavaScript", 10, 0, 0, 0, 2, 12
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\reducers\productReducer.js", "JavaScript", 20, 0, 0, 0, 4, 24
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\store\reducers\pushNotificationReducer.js", "JavaScript", 20, 0, 0, 0, 4, 24
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\utils\formatMoney.js", "JavaScript", 5, 0, 0, 0, 3, 8
"Total", "-", 6347, 1, 24, 426, 341, 7139
